Id,WnvPresent
1,3.956958101543837e-25
2,6.94225281837441e-29
3,2.654587052452896e-20
4,0.0
5,0.0
6,0.0
7,6.578350038645213e-25
8,0.0
9,8.754640429558771e-27
10,1.8817069065138207e-30
11,6.283823128049517e-22
12,0.0
13,0.0
14,0.0
15,1.4394591456600684e-26
16,0.0
17,3.2666031815226637e-29
18,5.36937827996392e-33
19,2.6561416051030074e-24
20,0.0
21,0.0
22,0.0
23,5.510619414598342e-29
24,0.0
25,6.3260173474112006e-27
26,1.3910449380116665e-30
27,7.112740496771479e-22
28,0.0
29,0.0
30,0.0
31,1.5687532939513967e-26
32,0.0
33,3.709400681191967e-24
34,6.801439894937995e-28
35,1.9793333459142905e-19
36,0.0
37,0.0
38,0.0
39,9.271481430201647e-24
40,0.0
41,6.566647937926506e-23
42,1.0753613193016837e-26
43,1.1658565828706406e-18
44,0.0
45,0.0
46,0.0
47,1.6109408062697528e-22
48,0.0
49,5.541805791150335e-26
50,1.0884633069631127e-29
51,6.225205385915666e-21
52,0.0
53,0.0
54,0.0
55,1.3742812389994125e-25
56,0.0
57,4.072932379672827e-27
58,8.283147274142707e-31
59,4.523082053499363e-22
60,0.0
61,0.0
62,0.0
63,1.0100235296407645e-26
64,0.0
65,3.787814244031841e-26
66,8.787785118159754e-30
67,4.607862916602059e-21
68,0.0
69,0.0
70,0.0
71,9.403943058405639e-26
72,0.0
73,4.060972131495198e-19
74,2.4763830028832997e-23
75,4.2468678199268e-16
76,0.0
77,0.0
78,0.0
79,1.0003342267811764e-18
80,0.0
81,5.168571685936472e-24
82,8.418897491992616e-28
83,2.0769760718655227e-19
84,0.0
85,0.0
86,0.0
87,1.2853874716792125e-23
88,0.0
89,8.479239758703848e-19
90,6.270865488146974e-23
91,5.501435052582542e-16
92,0.0
93,0.0
94,0.0
95,1.650480714057416e-18
96,0.0
97,3.1745578907590724e-19
98,2.364036114888801e-23
99,3.9274111967544127e-16
100,0.0
101,0.0
102,0.0
103,8.105095627888457e-19
104,0.0
105,1.4054170242606618e-26
106,2.97519369328715e-30
107,1.5706016150203712e-21
108,0.0
109,0.0
110,0.0
111,3.485214596360047e-26
112,0.0
113,1.3887862021066745e-30
114,2.9366470786956053e-34
115,1.3160891886925544e-25
116,0.0
117,0.0
118,0.0
119,2.8903085190673786e-30
120,0.0
